,x,y,c,ind+1
278,113.953224,-137.34796,13,82674
279,-0.52374536,-79.677376,7,82912
280,-45.386345,-48.420662,11,83638
281,81.26022,2.1835003,2,84419
282,14.669977,-150.00652,7,84536
283,43.32255,-136.77765,2,84788
284,-184.69182,-22.187796,4,84870
285,104.19205,40.2984,15,85017
286,-159.58267,-32.598446,4,85172
287,54.89767,-123.99624,13,85436
288,-76.81652,-31.359306,11,85648
289,139.07959,-124.21522,13,85886
290,28.957598,116.01808,9,86288
291,-35.122044,116.74807,9,87300
292,-102.379654,-20.135015,9,87363
293,-35.345226,-72.64372,11,87848
294,-2.7949774,-81.292206,7,88227
295,123.4949,-152.01117,13,88239
296,30.757399,-13.022975,5,88413
297,-42.347748,-149.32352,7,88752
298,-93.565285,-28.312223,11,89110
299,-16.557768,-62.175045,11,89215
300,43.28637,161.33932,6,89261
301,-225.42812,8.197571,8,89439
302,-117.14884,120.60304,14,89705
303,69.08195,43.478092,15,90008
304,-52.931725,-129.06662,11,90614
305,-226.9349,35.462463,8,90684
306,-86.54615,75.69195,3,91063
307,-196.7397,-34.882748,4,91550
308,-224.77457,26.299246,8,91785
309,-215.44463,-27.308624,8,93536
310,-33.155556,-206.0915,7,93669
311,-37.018177,-193.28,7,94032
312,-21.585142,81.078476,11,94319
313,-230.72063,14.043138,8,94730
314,-133.82031,63.47316,3,95513
315,-86.99762,48.2235,12,96015
316,214.3582,17.038597,15,96189
317,-74.62143,98.28696,4,96220
318,118.76771,61.85147,15,96382
319,-45.60364,120.13145,1,96421
320,98.5192,24.924448,15,96463
321,-94.22929,4.0954337,12,97184
322,-1.836014,-46.458958,2,97268
323,-97.18469,40.76001,12,97540
324,-72.617134,50.808685,12,97765
325,-26.829895,221.73369,1,97816
326,-124.8513,-16.910473,4,97995
327,-77.08325,-30.00463,11,98131
328,42.11709,84.38509,10,98321
329,-79.05901,49.499752,12,98431
330,21.804533,-132.31808,7,98883
331,-72.972374,-128.03249,11,99043
332,29.985527,92.06417,9,100130
333,84.498055,24.980377,15,100473
334,-45.07351,4.9894533,12,100486
335,-133.64198,101.411804,14,101097
336,51.463055,-68.38025,2,101106
337,-223.31511,24.197369,8,101454
338,-179.57481,39.37397,3,101688
339,-17.481876,-71.919975,11,101903
340,-220.01079,-18.625883,8,101947
341,-26.386929,89.62174,9,101950
342,-90.25679,-110.322395,11,102228
343,25.619333,-186.95517,7,102268
344,-48.5821,-128.05252,11,102544
345,117.40272,-134.949,13,102743
346,-9.788568,-88.05284,7,103043
347,-76.49334,3.6444182,12,103120
348,46.02126,147.5344,6,103179
349,-148.54884,-41.699974,4,103381
350,26.681047,91.823685,1,103417
351,-16.264992,-16.97378,5,103422
352,-7.7846737,-155.10966,7,104053
353,87.87195,-101.44188,13,104516
354,90.76974,-125.62963,13,104880
355,56.484585,-65.387245,2,105001
356,51.566498,-87.60315,2,105173
357,-87.82112,23.160738,12,105330
358,166.79147,-65.193184,13,105606
359,42.327568,-108.11772,7,106059
360,63.878277,-31.995527,2,106325
361,50.8922,-48.85873,2,106388
362,37.58449,154.09436,6,106811
363,41.479336,-99.16094,2,106854
364,-109.32761,-99.80897,11,108177
365,-100.95156,-106.130554,11,108189
366,108.38291,25.710901,15,108411
367,43.11982,152.48114,6,108561
368,69.634094,-51.931854,2,108829
369,-26.921505,-173.35904,7,108863
370,5.3673925,-60.706844,2,108997
371,74.4564,-132.10802,13,110253
372,87.448166,-93.11757,13,110384
373,-116.89687,23.029102,4,110416
374,77.790726,5.662591,2,110686
375,-28.636717,-22.336706,13,111070
376,-200.63243,-22.678448,8,111159
377,-78.27999,-12.629053,12,111560
378,-10.688272,-48.83683,2,111842
379,71.644424,63.370533,10,111933
380,0.80964005,-168.92065,7,112462
381,23.970842,-168.16081,7,112677
382,-109.850975,-101.935074,11,113113
383,-42.553787,-122.66889,11,113143
384,-131.2288,15.844591,3,113401
385,-59.978447,-119.3332,11,113446
386,31.934414,-137.37537,2,114240
387,10.605137,-161.9314,7,114532
388,55.09993,-83.11282,2,114959
389,-77.664696,-97.720535,11,115011
390,44.130512,-21.115023,5,115094
391,-230.46417,-12.540403,8,115124
392,98.76916,49.28827,15,115282
393,-49.261005,123.623825,1,115443
394,118.67718,-106.073,13,115466
395,60.64164,-81.1448,2,115654
396,-190.2461,8.387384,8,116394
397,64.52527,21.517904,5,116693
398,25.78373,-6.3650017,5,117054
399,-153.55925,95.4146,8,117190
400,17.342836,-126.27169,7,117967
401,-22.583778,-171.3935,7,118249
402,-135.3909,95.60133,14,118428
403,-127.65827,-11.890258,4,118523
404,-216.63834,-8.048054,8,119012
405,-60.182907,-12.414358,12,119395
406,12.18317,-52.498554,2,119431
407,3.3283427,-83.19898,7,119514
408,221.33037,11.433937,15,119619
409,35.25138,-46.519913,2,119634
410,25.825102,-14.88551,5,119729
411,-26.970255,183.5314,1,120244
412,15.783314,-47.935215,2,120539
413,33.440823,-184.55153,7,120954
414,-134.09691,-11.619302,4,121392
415,55.2209,203.07166,6,121459
416,-6.219536,-3.0629344,5,121460
417,-43.95386,-1.4246037,12,122017
418,-200.74025,-20.450445,8,122092
419,-91.95144,-47.24136,11,122279
420,57.171154,-142.6505,13,122393
421,-171.04008,-35.92386,4,122531
422,-212.52841,3.5413144,8,122788
423,-88.74991,-55.68572,11,123531
424,-167.07164,47.49597,3,123702
425,-42.106327,114.40937,1,123810
426,-178.41429,-57.290443,4,124568
427,-105.38322,90.89985,4,124905
428,17.173298,-141.35599,7,124924
429,28.137518,-54.303177,2,124943
430,-213.60146,35.681416,8,125359
431,-116.25297,-37.80429,4,125541
432,-72.631516,2.8435626,12,125828
433,-19.789154,189.69943,1,126059
434,98.221275,-38.925797,15,126611
435,-3.942173,-184.38206,7,126738
436,7.6172533,115.836464,9,127062
437,53.421177,-138.0553,13,127101
438,-96.14435,44.406418,12,127189
439,97.88297,-39.721573,15,127310
440,-43.300423,-48.75058,11,127431
441,-103.950195,-19.816236,4,127637
442,-147.78723,18.267117,3,128109
443,72.494865,-28.696793,2,128178
444,77.05702,-114.39147,13,128574
445,28.949514,118.56277,6,128689
446,-2.594676,119.392204,9,129206
447,-144.86555,65.534225,3,129433
448,1.6028277,116.35896,9,129728
449,-72.84713,102.26065,14,129794
450,138.38641,-141.54898,13,130255
451,-177.22398,46.50124,3,130488
452,-220.09381,5.922051,8,130509
453,-230.8555,16.697166,8,130827
454,-5.5152974,71.39276,11,130937
455,-213.76958,34.28359,8,130963
456,143.91678,-136.69055,13,131150
457,-71.24437,-15.397445,12,131841
458,-91.880135,-75.154526,11,132428
459,96.4323,177.6525,6,132507
460,-217.56674,7.327523,8,132521
461,-106.382164,48.846916,3,132744
462,99.72531,84.33878,15,132839
463,-62.65901,33.8539,12,133486
464,-162.17712,-36.021107,4,133997
465,-19.554596,-36.289337,2,134071
466,-110.37185,129.88164,14,134106
467,-218.38914,7.526458,8,135965
468,-44.32096,117.838135,1,135987
469,-234.70645,5.006974,8,136344
470,88.38893,24.316225,15,136495
471,37.48971,-42.591232,2,136654
472,-213.97574,-11.951478,8,136680
473,56.975067,127.49304,15,136931
474,-33.00389,-63.635677,11,137703
475,-229.0595,4.1422396,8,137801
476,-155.17032,-29.48086,4,137930
477,-136.6827,-37.822353,4,138334
478,-15.323699,-40.675003,2,138568
479,-68.36344,99.53879,1,138970
480,64.111,49.25493,15,138997
481,25.150454,115.53779,9,139081
482,-31.968246,71.4638,9,139576
483,51.43381,133.44547,6,139631
484,11.202737,99.79684,9,141540
485,6.1549926,95.5165,9,141568
486,-74.59156,5.8185897,12,142116
487,-223.7186,11.418959,8,142381
488,-74.80131,93.8807,4,142497
489,-43.11079,-128.58348,7,142508
490,-94.4009,-32.165398,11,142647
491,-185.4688,-18.02958,4,142726
492,11.130862,84.78276,9,142914
493,-113.36967,-68.000885,11,143249
494,-3.7811315,-42.98009,2,143311
495,116.94643,48.517075,15,143843
496,-133.67882,99.848976,14,144106
497,-220.8501,27.7911,8,144714
498,-213.05634,-23.41048,8,145359
499,-179.39557,-32.552876,4,145549
500,-129.664,137.97,14,146297
501,-82.18838,29.939548,12,146582
502,-16.061728,102.5766,9,147018
503,-34.477345,-38.564964,2,147382
504,-78.46253,3.4085617,12,147656
505,-13.74421,120.25408,9,147665
506,59.329006,-65.873634,2,147988
507,-226.13458,25.797846,8,148182
508,-189.21071,-35.606644,4,148559
509,-38.439686,-83.59588,11,148943
510,-89.650055,-52.68649,11,149243
511,-26.68709,-75.068016,11,149525
512,33.142307,114.465546,9,149986
513,-119.90355,-110.83142,11,150124
514,-176.39825,59.745434,3,150405
515,-55.90476,2.7016103,12,150600
516,22.707333,122.544754,9,150918
517,24.891068,116.66351,9,151943
518,-10.142586,36.82459,5,152502
519,57.31814,128.26753,15,152928
520,-127.39527,-4.926424,4,153112
521,-225.98178,22.813757,8,153633
522,-120.99708,28.092358,3,153694
523,-211.60077,13.717022,8,157152
524,-155.91237,69.06566,3,157389
525,23.416252,-127.971725,7,157443
526,44.422073,-36.809647,2,157855
527,108.20732,41.487713,15,158142
528,-68.36485,113.214066,14,158197
529,-25.067234,93.99875,9,158235
530,-71.39561,28.513893,12,158401
531,23.236408,-96.65899,2,159079
532,115.24498,-148.32948,13,159326
533,-186.15273,-38.333904,4,159655
534,32.74327,-60.03464,2,160056
535,-42.58296,-124.2454,11,160119
536,-190.86623,-36.779606,4,160181
537,-57.23969,-101.22121,11,160219
538,20.604557,61.22014,11,160400
539,-73.82147,116.76342,14,161039
540,-160.08182,24.80857,3,161137
541,-19.724255,87.5221,9,161404
542,189.56409,2.5605073,5,161431
543,16.669022,82.91747,9,161851
544,-54.918312,-70.40015,10,162101
545,57.018593,128.00824,15,162185
546,-9.841072,-47.80382,2,162242
547,-233.21823,7.2788014,8,163269
548,98.449,-70.00961,13,163373
549,-83.95357,108.22367,14,163403
550,39.481308,-38.99274,2,163553
551,-230.54431,15.283594,8,163962
552,29.864601,-52.757587,2,164191
553,-152.3325,65.89054,3,164347
554,-221.16367,-1.1779772,8,165180
555,-103.464745,-25.232485,4,165517
556,-155.30862,-46.797962,4,165815
557,-176.2082,42.33246,3,166484
558,-161.04192,-36.036537,4,166779
559,-166.90758,-47.63144,4,166921
560,29.044703,-67.45169,2,167507
561,-231.58957,0.8684826,8,167749
562,-101.44437,118.51212,14,167798
563,-226.71384,-9.091791,8,167896
564,-225.28041,32.948116,8,168229
565,-85.31914,-75.18901,11,168551
566,-139.28098,-18.77608,4,168854
567,-32.768177,-126.64764,11,168884
568,-59.341213,-49.272316,15,168941
569,-164.29288,22.498497,3,169001
570,110.60132,157.79839,6,169340
571,-123.86211,-109.85178,11,170111
572,-134.87306,-9.353529,4,170168
573,-104.29235,54.893684,12,170170
574,31.774824,187.22632,6,170422
575,46.27362,193.07222,6,170799
576,-228.85646,14.171312,8,170933
577,-20.544132,-66.12967,11,171095
578,-165.40492,-38.37161,4,171113
579,-96.7831,-110.744736,11,171548
580,-138.40579,92.23962,14,172262
581,64.43272,-53.06154,2,172305
582,-142.2099,-18.372772,4,172337
583,-102.52797,-33.721172,11,172417
584,-95.22246,-44.8363,11,172494
585,-194.24284,-28.719408,4,172631
586,-194.36131,13.244374,8,172878
587,30.61291,93.154076,1,173578
588,-216.55333,-24.989027,8,173961
589,-166.22035,-49.858047,4,174140
590,-171.0062,-70.03233,4,174472
591,58.10706,-176.42451,13,174557
592,-34.391804,-71.05393,11,174980
593,-22.051989,82.37734,9,175305
594,-145.77711,65.42665,3,175615
595,-135.93921,97.01513,14,175701
596,0.56225455,75.89043,9,176917
597,-161.70972,-60.79432,4,176939
598,-16.86131,-59.306217,11,177073
599,65.23716,21.51376,5,177467
600,-143.41669,-46.396664,4,177798
601,86.78112,25.79703,15,178009
602,-143.02458,98.43649,8,178656
603,-210.14658,-19.84156,8,178974
604,14.664562,-16.801662,5,179448
605,-126.99954,-11.802428,4,179897
606,3.8019273,96.01137,9,181657
607,-85.3152,-120.05299,11,181759
608,-114.894,108.60518,14,182121
609,-150.26732,19.286648,3,182219
610,-7.167488,93.16765,9,182430
611,112.29237,155.78702,6,182486
612,-16.684723,108.04091,9,182558
613,-139.42104,-30.651825,4,182969
614,174.00555,-71.44068,13,183447
615,-77.80102,40.989876,12,183531
616,-95.08905,-123.90023,11,183938
617,47.065495,137.24652,9,184143
618,-52.207993,103.476944,4,185078
619,-153.98265,-38.04003,4,185166
620,-171.8027,58.014614,3,185544
621,-130.5356,63.390453,3,185668
622,132.71216,-17.786829,13,186504
623,163.21237,-129.9531,13,186607
624,-18.812576,-193.92288,7,187016
625,-41.81114,-193.7138,7,187052
626,-80.438484,37.331753,12,187336
627,26.05217,132.3411,9,187429
628,-116.37573,-59.731113,11,187451
629,-171.23138,-49.964024,4,187667
630,42.84821,-73.77879,2,187964
631,-197.87834,-36.247715,4,188167
632,91.229935,45.328667,15,188284
633,-93.202805,-79.403076,11,188342
634,-167.12196,33.54266,3,188558
