,x,y,c,ind+1
34073,-28.236387,11.886946,12,1126744
34074,-0.26433674,-29.568237,7,1126753
34075,3.4978566,-31.193172,13,1126764
34076,-13.3545065,5.2849975,4,1126772
34077,24.183886,-25.91797,13,1126773
34078,-16.157936,8.587781,4,1126830
34079,-35.646744,14.04415,12,1126909
34080,-20.627928,25.171152,14,1126926
34081,-20.530064,26.2028,14,1126933
34082,-12.122387,6.5401115,4,1126980
34083,12.452292,-33.63706,13,1126987
34084,-25.413795,-21.953527,8,1126989
34085,-37.327274,15.34991,12,1127019
34086,13.976213,-12.077372,2,1127097
34087,-38.500496,16.476198,12,1127103
34088,-38.945824,16.376997,12,1127109
34089,3.3737714,-12.842744,2,1127158
34090,8.375316,12.1946745,10,1127210
34091,3.4290445,-12.857461,2,1127211
34092,-27.888577,17.64052,12,1127254
34093,-26.218029,-18.096855,8,1127280
34094,-13.269355,-4.5527077,11,1127289
34095,-31.688515,3.003874,6,1127306
34096,-37.23618,12.4139805,12,1127327
34097,16.512657,-27.829838,13,1127430
34098,13.991907,-33.694145,13,1127475
34099,36.200123,-2.5510015,5,1127582
34100,-34.26867,14.184372,12,1127598
34101,9.586684,-35.35433,13,1127638
34102,-16.780918,24.97397,14,1127644
34103,-10.271732,10.244455,9,1127661
34104,-13.192707,-10.7104435,11,1127673
34105,2.3551428,-21.756695,7,1127714
34106,16.705196,-29.159044,13,1127732
34107,-4.512524,-27.978813,7,1127738
34108,-26.706238,15.943795,12,1127756
34109,-8.64507,-28.891886,7,1127776
34110,-3.301665,-1.6487849,11,1127794
34111,6.371013,-24.365953,13,1127838
34112,8.405233,-14.429887,2,1127940
34113,-32.956703,-12.07185,3,1127946
34114,15.064167,-38.31752,13,1127954
34115,-10.705788,-27.722994,7,1127960
34116,31.843033,-2.4691582,5,1127989
34117,8.805535,-29.209705,13,1127999
34118,16.894041,25.71652,6,1128014
34119,-12.3594675,-0.07779324,11,1128033
34120,-26.419245,-20.563765,8,1128035
34121,-19.29471,17.597158,4,1128086
34122,14.409644,-12.525451,2,1128116
34123,15.181873,-29.022194,13,1128149
34124,25.18347,-19.328127,5,1128172
34125,-37.96404,16.91713,12,1128201
34126,-14.715593,8.890524,4,1128213
34127,-4.333067,11.804491,9,1128220
34128,-7.7699666,-30.504816,7,1128236
34129,-34.646515,-7.1185822,3,1128251
34130,15.562707,-14.174111,2,1128256
34131,-28.010384,12.500918,12,1128309
34132,-26.662104,-2.877661,3,1128324
34133,3.9366634,-22.06181,2,1128367
34134,-17.039131,21.480185,14,1128407
34135,-11.854953,-30.98486,7,1128412
34136,-38.96923,4.277364,12,1128433
34137,-29.198986,-5.768573,3,1128442
34138,-37.821373,10.855598,12,1128484
34139,-13.61419,-4.1997495,11,1128488
34140,9.495926,-11.231,2,1128562
34141,10.819203,-15.200892,2,1128618
34142,-34.61784,-10.399882,3,1128742
34143,-34.433846,-3.5198257,3,1128779
34144,-15.319812,10.70374,4,1128784
34145,-14.534507,23.161428,14,1128805
34146,-40.03157,14.087262,12,1128812
34147,-20.674025,6.8410077,4,1128827
34148,20.96317,-22.558975,13,1128835
34149,-32.36074,3.6056745,12,1128898
34150,-34.594154,-10.969972,3,1128914
34151,-26.140419,1.4565033,4,1128943
34152,-22.950579,-16.393684,8,1128955
34153,-41.21475,-0.6368075,3,1128971
34154,-11.764659,-19.065527,7,1128981
34155,-8.53952,12.003517,9,1129024
34156,4.787862,-28.881477,13,1129029
34157,-10.044872,9.511378,9,1129119
34158,-5.993626,-15.036855,7,1129150
34159,22.125006,27.403967,6,1129157
34160,-1.7097614,13.738893,9,1129274
34161,10.815234,-37.16305,13,1129316
34162,12.211462,-33.97521,13,1129388
34163,-22.62756,-9.726821,8,1129409
34164,15.455654,-33.590824,13,1129414
34165,9.76115,-16.458082,2,1129425
34166,-33.614826,-7.5256815,3,1129433
34167,-11.332377,-18.94698,7,1129447
34168,-11.235045,-29.195702,7,1129482
34169,12.298548,-13.945112,2,1129500
34170,-36.29819,13.241794,12,1129528
34171,-32.312008,8.990272,12,1129532
34172,-39.197617,4.4867387,12,1129535
34173,-17.301159,25.641062,14,1129635
34174,-2.666362,16.138617,9,1129655
34175,-9.7405615,-9.246951,11,1129693
34176,-7.0132036,-0.69009054,11,1129711
34177,-11.768247,-12.692879,11,1129712
34178,-2.9059072,-26.838823,7,1129731
34179,-31.124138,-2.9990995,3,1129743
34180,23.848568,29.074036,6,1129756
34181,-7.9232283,2.151318,11,1129820
34182,-13.540635,2.2921116,11,1129861
34183,-40.676235,0.8547769,3,1129876
34184,9.092176,-9.203492,2,1129891
34185,-21.670767,21.17636,14,1129898
34186,-9.458168,-29.775305,7,1129899
34187,-21.185,-15.595259,8,1129962
34188,11.536658,-18.00303,2,1129988
34189,-14.284613,-27.924063,7,1130006
34190,-31.866404,-14.816638,8,1130050
34191,-3.3891726,15.203448,9,1130069
34192,-25.867502,-22.48501,8,1130077
34193,14.591348,-36.26688,13,1130084
34194,16.152384,-13.002955,2,1130092
34195,-4.5935693,-27.557074,7,1130108
34196,-32.291965,16.050545,12,1130111
34197,-11.027207,-28.9139,7,1130115
34198,12.874016,-12.759637,2,1130126
34199,-36.883324,13.896242,12,1130133
34200,2.7078497,-20.643448,7,1130164
34201,15.490599,-12.916118,2,1130195
34202,26.64366,-9.993221,5,1130212
34203,4.7791004,-31.289196,13,1130234
34204,-39.121563,15.536231,12,1130238
34205,-9.554446,-24.664198,7,1130300
34206,32.04245,-6.5930605,5,1130324
34207,13.065164,-18.1175,2,1130385
34208,-40.161327,1.9451156,3,1130395
34209,13.268503,-13.562625,2,1130401
34210,-12.023856,-27.07765,7,1130402
34211,-36.222305,13.3804035,12,1130426
34212,-37.925354,16.440886,12,1130449
34213,-23.504438,-15.921926,8,1130482
34214,-32.934937,11.981557,12,1130485
34215,-25.1688,-21.815628,8,1130501
34216,-11.353135,-6.43696,11,1130507
34217,-27.304617,-16.55735,8,1130513
34218,-30.80948,-11.547089,3,1130518
34219,-8.5578,-30.144815,7,1130519
34220,-38.963852,13.88119,12,1130571
34221,-36.896877,16.116806,12,1130640
34222,10.709433,-34.35009,13,1130650
34223,12.352486,-17.251633,2,1130718
34224,0.6217581,-24.407814,7,1130729
34225,-10.576177,-13.543898,11,1130742
34226,-32.3132,-4.3314466,3,1130808
34227,9.042724,-31.72225,13,1130816
34228,7.419135,-10.4224615,2,1130840
34229,-21.327581,9.233958,4,1130857
34230,-8.681253,-29.559805,7,1130964
34231,-15.975517,17.378218,4,1130978
34232,-10.856881,-29.605412,7,1130983
34233,25.122787,-19.506279,13,1130999
34234,-7.558136,0.93450344,11,1131048
34235,-25.872667,-23.34435,8,1131049
34236,6.0525565,-10.166441,2,1131076
34237,14.785745,-34.609627,13,1131077
34238,-10.822796,-7.482236,11,1131101
34239,-6.4633374,-12.683715,11,1131143
34240,-37.173542,8.671772,12,1131152
34241,16.225279,-13.199386,2,1131187
34242,19.02193,-28.782621,13,1131216
34243,-12.052973,22.48304,14,1131263
34244,-5.1309104,-24.80357,7,1131280
34245,3.4731069,-12.854991,2,1131284
34246,10.766909,-32.654915,13,1131303
34247,33.715683,-6.1161475,5,1131390
34248,-34.89361,-7.3300357,3,1131399
34249,13.682952,-10.892185,2,1131402
34250,-35.256096,13.738757,12,1131428
34251,1.4816501,-8.405881,2,1131444
34252,-17.922514,11.072091,4,1131463
34253,-14.807462,-3.7764673,11,1131501
34254,-9.067114,19.064402,9,1131507
34255,-3.1026683,-22.164227,7,1131510
34256,-28.406887,-4.886551,4,1131518
34257,-34.77421,-6.7768345,3,1131569
34258,15.265968,-28.425121,13,1131617
34259,9.281962,-27.624306,13,1131626
34260,-7.4937277,-24.821142,7,1131652
34261,18.897316,-11.467525,2,1131658
34262,0.27801532,-23.855831,7,1131720
34263,-0.2716935,-24.891964,7,1131750
34264,16.829956,-35.336105,13,1131770
34265,-27.903172,-20.69919,8,1131862
34266,4.5169964,-13.406595,2,1131916
34267,-12.192739,-4.6932855,11,1131939
34268,-8.670055,-28.44905,7,1131942
34269,14.641479,-28.690786,13,1131946
34270,37.468822,-6.920995,5,1131952
34271,-14.057216,-1.6973531,11,1132026
34272,-15.834805,24.932089,14,1132035
34273,13.574159,-35.047516,13,1132086
